Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating text,cost type
Slice of Italy,New Delhi,"Shop 147, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Italian, Pizza, Bakery",700,2,3.3,Average,expensive
Subway,New Delhi,"107, Meharchand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","American, Fast Food, Salad, Healthy Food",500,2,3.2,Average,average
The Altitude Cafe and Deli,New Delhi,"116, Meher Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",Cafe,600,2,3.1,Average,average
Tokyo Mon Amour,New Delhi,"28, Main Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Japanese, French",2200,4,3.1,Average,expensive
Bhane,New Delhi,"135/136, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",Ice Cream,300,1,3.6,Good,average
Celeste,New Delhi,"48, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Cafe, Desserts, Bakery",500,2,3.5,Good,average
Chidambaram's New Madras Hotel,New Delhi,"7, Khanna Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","South Indian, Fast Food",400,1,3.8,Good,average
CJ's Fresh,New Delhi,"39 Meharchand Market, 1st floor, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",1000,3,3.8,Good,expensive
Elma's Brasserie,New Delhi,"73, Meherchand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","American, Continental, Italian, Bakery",2000,4,3.7,Good,expensive
Kunafa,New Delhi,"70, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Desserts, Middle Eastern, Turkish",300,1,3.9,Good,average
Lahori Gate,New Delhi,"97, Meherchand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Mughlai, North Indian",1800,3,3.5,Good,expensive
M I Food Center,New Delhi,"43, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","North Indian, Mughlai, Chinese",600,2,3.8,Good,average
Sugar Blossoms,New Delhi,"132 Meharchand Market, Lodhi Road, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Desserts, Bakery",300,1,3.6,Good,average
Eywa by Saby @ Celeste,New Delhi,"48, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",Cafe,1000,3,0,Not rated,expensive
Cafe Coffee Day,New Delhi,"Meherchand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",Cafe,450,1,2.3,Poor,average
Guppy,New Delhi,"28, Main Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","Japanese, Sushi",2900,4,4.1,Very Good,expensive
Ping's Cafí© Orient,New Delhi,"13, Main Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",Asian,2100,4,4.1,Very Good,expensive
The All American Diner,New Delhi,"India Habitat Centre, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi","American, Fast Food",1000,3,4.1,Very Good,expensive
Armaan's Restaurant,New Delhi,"Shop 3, Market 2 Complex, Near Pragati Vihar Hostel, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","North Indian, South Indian, Chinese",500,2,2.8,Average,average
Garden Chef,New Delhi,"Opposite Lodhi Road Post Office, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",Chinese,450,1,3,Average,average
Golooji's Chat Waat,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",Street Food,400,1,3.3,Average,average
Oriental Lee,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","Chinese, Thai",500,2,2.7,Average,average
Peshawari Restaurant,New Delhi,"17, Khanna Market, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","North Indian, Chinese",700,2,3.1,Average,expensive
Tikka Town,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",North Indian,550,2,3.1,Average,average
Titu Restaurant,New Delhi,"5, Mini Market 2, CGO Complex, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",North Indian,300,1,2.9,Average,average
Vijay Dhaba,New Delhi,"H 71, Karbla Jor Bagh Lane, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",North Indian,150,1,2.9,Average,cheap
Wild Willy,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","Pizza, Fast Food",500,2,3.2,Average,average
Diva Spiced,New Delhi,"79 & 80, Meharchand Market, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","Asian, Chinese",2000,4,3.7,Good,expensive
Granma's Homemade,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","Bakery, Desserts, Fast Food",200,1,3.6,Good,cheap
Karim's,New Delhi,"87 & 88, Indian Islamic Cultural Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","North Indian, Mughlai",1000,3,3.8,Good,expensive
Sab Ki Khatir,New Delhi,"Ispat Bhawan, Near Petrol Pump, MCD Stall, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",Mughlai,450,1,3.7,Good,average
Golden Bakery,New Delhi,"Shop 100, Khanna Market, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",Bakery,400,1,0,Not rated,average
Krishan Sweets,New Delhi,"67, Khanna Market, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",Mithai,250,1,0,Not rated,cheap
Rai Ji Caterers,New Delhi,"6, Shop Mini Market, Lodhi Road Complex, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",North Indian,400,1,0,Not rated,average
Szoun Chinese Food,New Delhi,"E-89, BK Dutt Colony, Karbala Market, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",Chinese,300,1,0,Not rated,average
Yummy Mummy @ Delhi,New Delhi,"B-126, BK Dutt Colony, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","Bengali, North Indian",300,1,0,Not rated,average
Lodi - The Garden Restaurant,New Delhi,"Opposite Mausam Bhawan, Near Gate 1, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi","European, Lebanese, Mediterranean",2600,4,4.2,Very Good,expensive
Aggarwal Sweets & Restaurant,New Delhi,"NH 8, Near Radission Hotel, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mithai, South Indian, Street Food, Fast Food",400,1,2.7,Average,average
Ashirwad Dhaba,New Delhi,"3, M.R. Complex, NH 8, Near Rangpuri Bus Stand, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,200,1,2.9,Average,cheap
Barichi Restaurant,New Delhi,"A 29/3, NH 8, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, South Indian, Chinese",1000,3,2.9,Average,expensive
Bikaner Sweets,New Delhi,"104/2, Near Rangpuri Bus Stand, NH 8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Mithai,200,1,2.7,Average,cheap
Bikaner,New Delhi,"L-10, Near IGI Airport, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Mithai, North Indian, South Indian, Chinese, Street Food",600,2,2.9,Average,average
Chatori Zubaan 2,New Delhi,"Near Nike Showroom, Rangpuri, NH-8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",550,2,3,Average,average
Chinese Mania,New Delhi,"Shop 2, J.D Complex, 11, Old Rangpuri Road, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Chinese,300,1,3.2,Average,average
Da Pizza Corner,New Delhi,"42, Near Sub Station, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Fast Food, Pizza",600,2,2.5,Average,average
Dhaba Cash 'N' Carry Kitchen,New Delhi,"Badam Singh Market, NH 8, Rangpuri Extention, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,600,2,3.1,Average,average
Dom Dang Kins Restaurant,New Delhi,"Shop 4, L 96, Rangpuri Road, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Chinese,400,1,3.1,Average,average
First Choice,New Delhi,"77, Main Vasant Kunj Road, Near IDBI Bank, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Fast Food",600,2,2.9,Average,average
Hungry Hut,New Delhi,"Main Vasant Kunj Road, Opposite OBC Bank, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Mughlai",700,2,3.1,Average,expensive
Le Seasons Restaurant,New Delhi,"A-1A, NH 8, Mahipalpur Extention, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",950,2,2.8,Average,expensive
Moti Mahal Delux,New Delhi,"La-Sapphire Hotel, A-23, NH 8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mughlai, Chinese",800,2,3,Average,expensive
Popsy's,New Delhi,"Shop 1 & 2, K Block, Mahipalpur Extension, Near Labor Chowk, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, South Indian, Continental, Fast Food",550,2,3,Average,average
Prabhu,New Delhi,"Opposite Vishal Mega Mart, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Fast Food, North Indian, Bakery",500,2,3.1,Average,average
Saptagiri,New Delhi,"L73/L322, NH8, Near IGI Airport, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mughlai, Chinese, Continental, Fast Food",900,2,2.8,Average,expensive
Spice Hut,New Delhi,"L 380, Near Allahabad Bank & Red Light Chowk, NH 8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Fast Food, Biryani",500,2,2.9,Average,average
Taste of Vishal,New Delhi,"Hotel Vishal Residency, NH 8, Rangpuri, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",900,2,2.9,Average,expensive
The Tandoori Night,New Delhi,"A-79, Chandgi Ram Building, Vasant Kunj Road, NH 8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Biryani, Chinese, North Indian",300,1,2.8,Average,average
Traffic Jaam,New Delhi,"A-63, Street 1, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",550,2,2.9,Average,average
Tripti,New Delhi,"A-67/1, NH 8 Extention, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Mughlai, South Indian",1000,3,3.1,Average,expensive
Uttaranchal Dhaba & Restaurant,New Delhi,"78, Main Mehrauli Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,200,1,2.9,Average,cheap
Wah Ji Wah,New Delhi,"A-79, Main Red Light Chowk, Opposite Vishal Mega Mart, Main Vasant Kunj Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",450,1,2.9,Average,average
Resto 37,New Delhi,"Hotel Delhi 37, A-78, NH 8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Continental, Fast Food",700,2,3.9,Good,expensive
Aakash Sweets & Caterers,New Delhi,"L 96, Old Rangpuri Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Mithai, Street Food",150,1,0,Not rated,cheap
Aapka Mangal Restaurant,New Delhi,"L-192, Gali 7, Near Labour Chowk, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,500,2,0,Not rated,average
Al-Karim,New Delhi,"L-1, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,350,1,0,Not rated,average
Apna Dhaba,New Delhi,"Near Kavira Garden, NH-8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,150,1,0,Not rated,cheap
Burger Wala,New Delhi,"K-26-C, Main Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Burger, Fast Food",200,1,0,Not rated,cheap
Cafe Highway,New Delhi,"Near Kavira Garden, NH-8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Fast Food, Chinese",250,1,0,Not rated,cheap
Cake Point,New Delhi,"Opposite NSG Camp, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Bakery, Desserts",600,2,0,Not rated,average
Chatori Zubaan Chur Chur Naan,New Delhi,"NH8, Opposite IGI Airport, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,100,1,0,Not rated,cheap
Coffee Shop,New Delhi,"Dee Marks Hotel & Resort, Adjoining Shiv Murti, NH 8, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Cafe, North Indian, Continental",1000,3,0,Not rated,expensive
Colonel's Kebabs & Curries,New Delhi,"21, Milestone Hotel and Resort, N.H 8, Near Shiv Murti, Rangpuri, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Mughlai",600,2,0,Not rated,average
Dhaba Cash 'n' Carry Kitchen Chur Chur Naan,New Delhi,"Shop 1, Badam Singh Market, Rangpuri Bus Stop, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,150,1,0,Not rated,cheap
Dolphin - The Food Cafe,New Delhi,"Labour Chouk Mahipalpur, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mughlai, Chinese",300,1,0,Not rated,average
First Treat Bakers,New Delhi,"K 98, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Bakery,300,1,0,Not rated,average
Flavours Of Delhi,New Delhi,"A-25, KH 393, Near IGI Airport, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Fast Food",650,2,0,Not rated,average
Foresto Lawn & Restaurant,New Delhi,"Plot 802/2, Block K, Main Vasant Kunj Road, Near Mata Chowk & Prem Maruti, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mughlai, Chinese",600,2,0,Not rated,average
Jain Sweets & Bakers,New Delhi,"A Block, Near Main Red Light Chowk, Opposite Vishal Mega Mart, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mithai",300,1,0,Not rated,average
JD's Restaurant,New Delhi,"A 50/2, Lane 1, Near Manoj Telecom, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",350,1,0,Not rated,average
Just Vada Pav,New Delhi,"KH 406, NH  8, Delhi - Gurgaon Road, Rangpuri, Near Shiv Murti, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Street Food,150,1,0,Not rated,cheap
Kaka De Dhaba,New Delhi,"Badam Singh Market, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,350,1,0,Not rated,average
Kolcata Bengali Dhaba,New Delhi,"Gali 7, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,100,1,0,Not rated,cheap
Kukkuu Da Dhaba,New Delhi,"Shop 90A, Road 4, Gali 7, Near Anand Lok Inn, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,400,1,0,Not rated,average
M&S Coffee Cafe,New Delhi,"Shop 105, Old Rangpuri Road, Labour Chowk, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Fast Food,450,1,0,Not rated,average
Malabar Style Kitchen,New Delhi,"K-311, Gali No. 4, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Kerala,350,1,0,Not rated,average
Mathura Lassi Wala,New Delhi,"K-Block, Rangpuri Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, South Indian",250,1,0,Not rated,cheap
Metropolitan Cafe,New Delhi,"A-2/269, Road 2, Near Good Luck Hotel, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese",500,2,0,Not rated,average
Mr. Bake,New Delhi,"L-96, Shubraj Complex, Labour Chowk, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Bakery,250,1,0,Not rated,cheap
Mughal-E-Zaika,New Delhi,"K111 Rang Puri Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Mughlai, North Indian",500,2,0,Not rated,average
Mukesh Bhojnalaya,New Delhi,"K-4, Shop 159, Rangpuri Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,300,1,0,Not rated,average
New Royal Blue Dhaba,New Delhi,"Lane 9, Old Rangpuri Road, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,300,1,0,Not rated,average
New Sharma Chicken Corner,New Delhi,"814, Mahipalpur Mata Chowk, Vasant Kunj Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Biryani",150,1,0,Not rated,cheap
Pakwan,New Delhi,"Shalimar Hotel, A-160, Road 4, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Chinese, Fast Food",500,2,0,Not rated,average
Pizza Corner,New Delhi,"K-98, Rangpuri, Mahipalpur Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Pizza, Fast Food",250,1,0,Not rated,cheap
Pokhreli Kitchen,New Delhi,"184, Ground Floor, Road 1, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","South Indian, Nepalese",450,1,0,Not rated,average
Rasoi,New Delhi,"A-160, Hotel Shalimaar, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,500,2,0,Not rated,average
Satya Dhaba,New Delhi,"L 321/13, N.H. 8, Near Saptagiri Hotel, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,450,1,0,Not rated,average
Sha-O-Lin Chinese Fast Food,New Delhi,"3, A 104, Road 4, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Chinese,300,1,0,Not rated,average
Shahi Chicken Corner,New Delhi,"L-25, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Mughlai,300,1,0,Not rated,average
Shama Muradabadi,New Delhi,"A-116, Road 4, Near IPH, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Biryani",250,1,0,Not rated,cheap
Sunil Punjabi Dhaba,New Delhi,"Main Vasant Kunj Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,150,1,0,Not rated,cheap
Sunita Dhaba,New Delhi,"National Highway 8, Near Shanti Place Hotel, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,250,1,0,Not rated,cheap
Taste of India,New Delhi,"A-53,   NH-8, Near IGI Airport, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","North Indian, Mughlai, Chinese",1000,3,0,Not rated,expensive
U.P. Al-Flah Restaurant,New Delhi,"L-1, Street 1, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",Biryani,350,1,0,Not rated,average
Vaishno Da Dhaba,New Delhi,"Badam Singh Market, NH 8, Rangpuri, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",North Indian,200,1,0,Not rated,cheap
Yadav Sweets,New Delhi,"Old Rangpuri, Near Sabzi Mandi, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi","Mithai, Street Food",150,1,0,Not rated,cheap
The Cavalry Bar - Maidens Hotel,New Delhi,"Maidens Hotel, 7, Shamnath Marg, Civil Lines, New Delhi","Maidens Hotel, Civil Lines","Maidens Hotel, Civil Lines, New Delhi",Finger Food,2000,4,2.7,Average,expensive
The Curzon Room - Maidens Hotel,New Delhi,"Maidens Hotel, 7, Shamnath Marg, Civil Lines, New Delhi","Maidens Hotel, Civil Lines","Maidens Hotel, Civil Lines, New Delhi","European, North Indian",3200,4,3.4,Average,expensive
The Garden Terrace - Maidens Hotel,New Delhi,"Maidens Hotel, 7, Shamnath Marg, Civil Lines, New Delhi","Maidens Hotel, Civil Lines","Maidens Hotel, Civil Lines, New Delhi","North Indian, Continental",3000,4,3.3,Average,expensive
Ama Rabsel House,New Delhi,"House 47, Majnu Ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Chinese, North Indian",500,2,3,Average,average
Cafe Plus,New Delhi,"B-29, New Sakya House, New Camp, Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Cafe,500,2,3.2,Average,average
Hornbill,New Delhi,"158, Block 7, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Naga, Chinese",450,1,3.1,Average,average
Orange Cafe & Restaurant,New Delhi,"Block 10, House 7, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, Chinese",450,1,3.1,Average,average
ABC Restaurant,New Delhi,"House 74 A, Block H, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","North Indian, Chinese",300,1,0,Not rated,average
Achi Restaurant,New Delhi,"Ground Floor, Achi House, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Chinese,400,1,0,Not rated,average
Asian House Restaurant,New Delhi,"1st floor, Asian Hotel, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, South Indian, North Indian",400,1,0,Not rated,average
Cafe 59,New Delhi,"New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Cafe, North Eastern",600,2,0,Not rated,average
Drepung Loselling,New Delhi,"42, New Tibetan Colony, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, Chinese",400,1,0,Not rated,average
Dus Bab,New Delhi,"B-4, House 76, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Tibetan,500,2,0,Not rated,average
DZI House,New Delhi,"188-A, Block 9, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","North Indian, Chinese, Tibetan",550,2,0,Not rated,average
Good Luck Cafe,New Delhi,"House 8A, Block 3, Tara House, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Ice Cream,250,1,0,Not rated,cheap
Kathmandu,New Delhi,"Old Camp, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Chinese,300,1,0,Not rated,average
Kullu Manali Restaurant,New Delhi,"170, Main Road, Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, Chinese, North Indian",400,1,0,Not rated,average
Lhamo's Kitchen,New Delhi,"Block 10, House 7, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Nepalese,300,1,0,Not rated,average
Lhasa Manthang Restaurant,New Delhi,"House 100/B, Block 5, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, Chinese",300,1,0,Not rated,average
Lhasa Thali House,New Delhi,"15-16, New Tibetan Camp, Majnu Ka Tila",Majnu ka Tila,"Majnu ka Tila, New Delhi",Nepalese,300,1,0,Not rated,average
Little Tibet,New Delhi,"House 16, Block 7, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Cafe, Tibetan",300,1,0,Not rated,average
Lotus House Restaurant,New Delhi,"House 24/25, New Tibet Camp, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, Chinese",600,2,0,Not rated,average
Mahi Rasoi,New Delhi,"11, Old Camp House, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","North Indian, South Indian, Fast Food",400,1,0,Not rated,average
New Open Restaurant,New Delhi,"House 48, Old Camp, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Nepalese, Tibetan",300,1,0,Not rated,average
Rooftop Restaurant,New Delhi,"B-4, House 76, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",Chinese,450,1,0,Not rated,average
Somang House Restaurant,New Delhi,"4, Somang Complex, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Asian, Chinese",500,2,0,Not rated,average
Tandoori Khazana,New Delhi,"2-B, Buta Singh Building, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","North Indian, Fast Food",350,1,0,Not rated,average
Tsopema Restaurant,New Delhi,"House 24/25, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi","Tibetan, Chinese, North Indian",600,2,0,Not rated,average
33 Food,New Delhi,"J-1/13, Gupta Colony, Khirki Extension, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi","North Indian, Mughlai",700,2,3.2,Average,expensive
Burger Point,New Delhi,"E-6/11,12, Main Road, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi","Burger, Fast Food",400,1,3.3,Average,average
Cafe Blur,New Delhi,"C 114, Panchsheel Vihar, Khirki Extension, Malviya Nagar, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi","Cafe, Chinese",450,1,3.1,Average,average
Cafe Coffee Day,New Delhi,"22, New Market, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",Cafe,450,1,2.5,Average,average
Cafe Rendezvous,New Delhi,"T-540, The Panchshila Rendezvous, Panchshila Park, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi","Mexican, Italian, North Indian, Continental, Asian",1550,3,3.3,Average,expensive
Cakes & Bakes,New Delhi,"C-77, Shivalik Road, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi","Bakery, Desserts",500,2,3.4,Average,average
Chatorey Chacha,New Delhi,"E-2/16, Near Shani Mandir, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi","Street Food, North Indian",350,1,3.3,Average,average
